"Country","Date","Policy Category","Policy Type","Policy Value","Policy Value Description","Policy Value Description KFF","Income","Region"
"Nepal",2021-04-29,"Closure Policies","Stay at home requirements",3,"Required not leaving house with minimal exceptions","Require not leaving house with exceptions","Lower middle income","South-East Asia Region"
"Nepal",2021-04-29,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income","South-East Asia Region"
"Slovakia",2021-04-29,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","European Region"
"Guatemala",2021-04-30,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Upper middle income","Region of the Americas"
"Moldova",2021-04-30,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Lower middle income","European Region"
"Belgium",2021-05-01,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","European Region"
"Dominican Republic",2021-05-01,"Economic Policies","Income support",0,"No measures","No support","Upper middle income","Region of the Americas"
"Kenya",2021-05-01,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Lower middle income","African Region"
"Kenya",2021-05-01,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","African Region"
"Kenya",2021-05-01,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","African Region"
"Kenya",2021-05-01,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Lower middle income","African Region"
"Cambodia",2021-05-01,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Lower middle income","Western Pacific Region"
"Mexico",2021-05-01,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","Region of the Americas"
"Mauritius",2021-05-01,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","African Region"
"Mauritius",2021-05-01,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income","African Region"
"Thailand",2021-05-01,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Upper middle income","South-East Asia Region"
"Uganda",2021-05-01,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Low income","African Region"
"Uruguay",2021-05-01,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","High income","Region of the Americas"
"Malawi",2021-05-02,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","Low income","African Region"
"Ukraine",2021-05-02,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Lower middle income","European Region"
"Austria",2021-05-03,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Colombia",2021-05-03,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Upper middle income","Region of the Americas"
"Colombia",2021-05-03,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Upper middle income","Region of the Americas"
"Colombia",2021-05-03,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","Region of the Americas"
"Estonia",2021-05-03,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Estonia",2021-05-03,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","European Region"
"France",2021-05-03,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","European Region"
"France",2021-05-03,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Ghana",2021-05-03,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","African Region"
"Guam",2021-05-03,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income",NA
"South Korea",2021-05-03,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","Western Pacific Region"
"Sri Lanka",2021-05-03,"Closure Policies","Workplace closing",3,"Required closing for all excluding essential workers","Full closing (with exception for essential workers)","Lower middle income","South-East Asia Region"
"Sri Lanka",2021-05-03,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","South-East Asia Region"
"Sri Lanka",2021-05-03,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income","South-East Asia Region"
"Latvia",2021-05-03,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","European Region"
"Sudan",2021-05-03,"Closure Policies","Stay at home requirements",3,"Required not leaving house with minimal exceptions","Require not leaving house with exceptions","Low income","Eastern Mediterranean Region"
"Togo",2021-05-03,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Low income","African Region"
"Timor-Leste",2021-05-03,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Lower middle income","South-East Asia Region"
"Tunisia",2021-05-03,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Lower middle income","Eastern Mediterranean Region"
"Venezuela",2021-05-03,"Closure Policies","Workplace closing",3,"Required closing for all excluding essential workers","Full closing (with exception for essential workers)","Upper middle income","Region of the Americas"
"Afghanistan",2021-05-04,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Low income","Eastern Mediterranean Region"
"Argentina",2021-05-04,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Upper middle income","Region of the Americas"
"Guatemala",2021-05-04,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Upper middle income","Region of the Americas"
"Honduras",2021-05-04,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Lower middle income","Region of the Americas"
"Honduras",2021-05-04,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Lower middle income","Region of the Americas"
"Malaysia",2021-05-04,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Upper middle income","Western Pacific Region"
"Nepal",2021-05-04,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","South-East Asia Region"
"Panama",2021-05-04,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income","Region of the Americas"
"Poland",2021-05-04,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Poland",2021-05-04,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","European Region"
"El Salvador",2021-05-04,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","Region of the Americas"
"Seychelles",2021-05-04,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","High income","African Region"
"Seychelles",2021-05-04,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","African Region"
"Seychelles",2021-05-04,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income","African Region"
"Tanzania",2021-05-04,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Lower middle income","African Region"
"Albania",2021-05-05,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Upper middle income","European Region"
"India",2021-05-05,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Lower middle income","South-East Asia Region"
"Luxembourg",2021-05-05,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","European Region"
"United States",2021-05-05,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","Region of the Americas"
"Denmark",2021-05-06,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","High income","European Region"
"Egypt",2021-05-06,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Lower middle income","Eastern Mediterranean Region"
"Honduras",2021-05-06,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Lower middle income","Region of the Americas"
"South Korea",2021-05-06,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income","Western Pacific Region"
"Norway",2021-05-06,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Puerto Rico",2021-05-06,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income",NA
"Puerto Rico",2021-05-06,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","High income",NA
"Belgium",2021-05-08,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income","European Region"
"Mongolia",2021-05-08,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","Western Pacific Region"
"Mongolia",2021-05-08,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Lower middle income","Western Pacific Region"
"Mongolia",2021-05-08,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Lower middle income","Western Pacific Region"
"Poland",2021-05-08,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","High income","European Region"
"Ukraine",2021-05-08,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Lower middle income","European Region"
"Ukraine",2021-05-08,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Lower middle income","European Region"
"Ukraine",2021-05-08,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","European Region"
"Belize",2021-05-09,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","Region of the Americas"
"Bermuda",2021-05-09,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income",NA
"Bermuda",2021-05-09,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","High income",NA
"Bermuda",2021-05-09,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income",NA
"Estonia",2021-05-09,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","European Region"
"Estonia",2021-05-09,"Economic Policies","Debt contract relief",0,"No measures","No support","High income","European Region"
"United States",2021-05-09,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","Region of the Americas"
"Aruba",2021-05-10,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income",NA
"Aruba",2021-05-10,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","High income",NA
"Angola",2021-05-10,"Closure Policies","Restrictions on gatherings",1,"Restrictions on very large gatherings (more than 1,000 people)","Partial restriction","Lower middle income","African Region"
"Angola",2021-05-10,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","African Region"
"Angola",2021-05-10,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","African Region"
"Angola",2021-05-10,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","Lower middle income","African Region"
"Angola",2021-05-10,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Lower middle income","African Region"
"United Arab Emirates",2021-05-10,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","Eastern Mediterranean Region"
"Azerbaijan",2021-05-10,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","Upper middle income","European Region"
"Bahamas",2021-05-10,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","High income","Region of the Americas"
"Belize",2021-05-10,"Closure Policies","School closing",0,"No measures","No restriction","Upper middle income","Region of the Americas"
"Central African Republic",2021-05-10,"Closure Policies","School closing",0,"No measures","No restriction","Low income","African Region"
"Central African Republic",2021-05-10,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Low income","African Region"
"Central African Republic",2021-05-10,"Health Policies","Facial Coverings",0,"No measures","No requirement","Low income","African Region"
"Central African Republic",2021-05-10,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","Low income","African Region"
"Cyprus",2021-05-10,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","European Region"
"Cyprus",2021-05-10,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income","European Region"
"Cyprus",2021-05-10,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","European Region"
"Ireland",2021-05-10,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Ireland",2021-05-10,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","High income","European Region"
"Iceland",2021-05-10,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","High income","European Region"
"Iceland",2021-05-10,"Closure Policies","Restrictions on gatherings",2,"Restrictions on gatherings between 101-1,000 people","Partial restriction","High income","European Region"
"Iceland",2021-05-10,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income","European Region"
"Iceland",2021-05-10,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","European Region"
"Italy",2021-05-10,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","European Region"
"Kazakhstan",2021-05-10,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Upper middle income","European Region"
"Lesotho",2021-05-10,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Lower middle income","African Region"
"Lesotho",2021-05-10,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","African Region"
"Malta",2021-05-10,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Peru",2021-05-10,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","Region of the Americas"
"Papua New Guinea",2021-05-10,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Lower middle income","Western Pacific Region"
"Papua New Guinea",2021-05-10,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","Western Pacific Region"
"Zimbabwe",2021-05-10,"Closure Policies","School closing",0,"No measures","No restriction","Lower middle income","African Region"
"Zimbabwe",2021-05-10,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","Lower middle income","African Region"
"Andorra",2021-05-11,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","High income","European Region"
"Andorra",2021-05-11,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","European Region"
"Andorra",2021-05-11,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","European Region"
"Andorra",2021-05-11,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Andorra",2021-05-11,"Economic Policies","Debt contract relief",0,"No measures","No support","High income","European Region"
"Colombia",2021-05-11,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Upper middle income","Region of the Americas"
"Czechia",2021-05-11,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income","European Region"
"Dominican Republic",2021-05-11,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Upper middle income","Region of the Americas"
"Guinea",2021-05-11,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Low income","African Region"
"Guinea",2021-05-11,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Low income","African Region"
"Iran",2021-05-11,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Upper middle income","Eastern Mediterranean Region"
"Iran",2021-05-11,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income","Eastern Mediterranean Region"
"Jamaica",2021-05-11,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Upper middle income","Region of the Americas"
"Lebanon",2021-05-11,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Upper middle income","Eastern Mediterranean Region"
"Libya",2021-05-11,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","Eastern Mediterranean Region"
"Moldova",2021-05-11,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","European Region"
"Pakistan",2021-05-11,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","Eastern Mediterranean Region"
"Pakistan",2021-05-11,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Lower middle income","Eastern Mediterranean Region"
"Pakistan",2021-05-11,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","Eastern Mediterranean Region"
"Pakistan",2021-05-11,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","Eastern Mediterranean Region"
"Pakistan",2021-05-11,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Lower middle income","Eastern Mediterranean Region"
"Portugal",2021-05-11,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income","European Region"
"Portugal",2021-05-11,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Qatar",2021-05-11,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","Eastern Mediterranean Region"
"Rwanda",2021-05-11,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Low income","African Region"
"Rwanda",2021-05-11,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Low income","African Region"
"Vietnam",2021-05-11,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","Western Pacific Region"
"Bermuda",2021-05-12,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income",NA
"France",2021-05-12,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","European Region"
"Jordan",2021-05-12,"Closure Policies","Cancel public events",0,"No measures","No restriction","Upper middle income","Eastern Mediterranean Region"
"Jordan",2021-05-12,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Upper middle income","Eastern Mediterranean Region"
"Jordan",2021-05-12,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","Eastern Mediterranean Region"
"Jordan",2021-05-12,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Upper middle income","Eastern Mediterranean Region"
"Jordan",2021-05-12,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","Upper middle income","Eastern Mediterranean Region"
"Paraguay",2021-05-12,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Upper middle income","Region of the Americas"
"Paraguay",2021-05-12,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","Region of the Americas"
"Paraguay",2021-05-12,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Upper middle income","Region of the Americas"
"Kosovo",2021-05-12,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income",NA
"Kosovo",2021-05-12,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Upper middle income",NA
"Slovakia",2021-05-12,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Bulgaria",2021-05-13,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","European Region"
"Ukraine",2021-05-13,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Lower middle income","European Region"
"Bosnia and Herzegovina",2021-05-14,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Upper middle income","European Region"
"Dominica",2021-05-14,"Economic Policies","Income support",0,"No measures","No support","Upper middle income","Region of the Americas"
"New Zealand",2021-05-14,"Health Policies","Vaccination policy",2,"Vaccine availability for two of the following key groups: essential workers, clinically vulnerable, or elderly adults","Partial availability","High income","Western Pacific Region"
"Tunisia",2021-05-14,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Lower middle income","Eastern Mediterranean Region"
"Brazil",2021-05-15,"Closure Policies","Workplace closing",3,"Required closing for all excluding essential workers","Full closing (with exception for essential workers)","Upper middle income","Region of the Americas"
"Guam",2021-05-15,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income",NA
"Poland",2021-05-15,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","European Region"
"Romania",2021-05-15,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","European Region"
"Romania",2021-05-15,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Romania",2021-05-15,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income","European Region"
"Slovenia",2021-05-15,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","High income","European Region"
"Austria",2021-05-16,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","European Region"
"China",2021-05-16,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Upper middle income","Western Pacific Region"
"Jamaica",2021-05-16,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Upper middle income","Region of the Americas"
"Jordan",2021-05-16,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Upper middle income","Eastern Mediterranean Region"
"Kuwait",2021-05-16,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","Eastern Mediterranean Region"
"Kuwait",2021-05-16,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","Eastern Mediterranean Region"
"Kuwait",2021-05-16,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","Eastern Mediterranean Region"
"Kuwait",2021-05-16,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","Eastern Mediterranean Region"
"Lebanon",2021-05-16,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Upper middle income","Eastern Mediterranean Region"
"Luxembourg",2021-05-16,"Closure Policies","Restrictions on gatherings",2,"Restrictions on gatherings between 101-1,000 people","Partial restriction","High income","European Region"
"Zambia",2021-05-16,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Lower middle income","African Region"
"Zambia",2021-05-16,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","African Region"
"Azerbaijan",2021-05-17,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Upper middle income","European Region"
"Barbados",2021-05-17,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","Region of the Americas"
"Barbados",2021-05-17,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income","Region of the Americas"
"Cyprus",2021-05-17,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","European Region"
"Czechia",2021-05-17,"Closure Policies","Restrictions on gatherings",2,"Restrictions on gatherings between 101-1,000 people","Partial restriction","High income","European Region"
"Djibouti",2021-05-17,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","Eastern Mediterranean Region"
"Algeria",2021-05-17,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","African Region"
"Algeria",2021-05-17,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","African Region"
"Algeria",2021-05-17,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Lower middle income","African Region"
"Algeria",2021-05-17,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","African Region"
"Estonia",2021-05-17,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","European Region"
"Estonia",2021-05-17,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","European Region"
"United Kingdom",2021-05-17,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","High income","European Region"
"Italy",2021-05-17,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","European Region"
"Sri Lanka",2021-05-17,"Health Policies","Vaccination policy",3,"Vaccine availability for all of the following key groups: essential workers, clinically vulnerable, and elderly adults","Partial availability","Lower middle income","South-East Asia Region"
"Lithuania",2021-05-17,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Mali",2021-05-17,"Closure Policies","School closing",0,"No measures","No restriction","Low income","African Region"
"Malta",2021-05-17,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","European Region"
"Mozambique",2021-05-17,"Closure Policies","School closing",0,"No measures","No restriction","Low income","African Region"
"Mozambique",2021-05-17,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","Low income","African Region"
"Saudi Arabia",2021-05-17,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income","Eastern Mediterranean Region"
"Seychelles",2021-05-17,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","High income","African Region"
"Tunisia",2021-05-17,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","Eastern Mediterranean Region"
"Tunisia",2021-05-17,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Lower middle income","Eastern Mediterranean Region"
"Turkey",2021-05-17,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","European Region"
"Turkey",2021-05-17,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Upper middle income","European Region"
"Turkey",2021-05-17,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Upper middle income","European Region"
"Bahrain",2021-05-18,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","Eastern Mediterranean Region"
"Bahrain",2021-05-18,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","Eastern Mediterranean Region"
"Bahrain",2021-05-18,"Health Policies","Vaccination policy",4,"Vaccine availability for all of the key groups plus partial additional availability","Partial availability","High income","Eastern Mediterranean Region"
"Bahamas",2021-05-18,"Health Policies","Vaccination policy",5,"Universal availability","Universal availability","High income","Region of the Americas"
"Congo (Kinshasa)",2021-05-18,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Low income","African Region"
"Congo (Brazzaville)",2021-05-18,"Closure Policies","School closing",0,"No measures","No restriction","Lower middle income","African Region"
"Congo (Brazzaville)",2021-05-18,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Lower middle income","African Region"
